Fecha,Temperatura_Abrigo_150cm,Temperatura_Abrigo_150cm_Maxima,Temperatura_Abrigo_150cm_Minima,Temperatura_Intemperie_5cm_Minima,Temperatura_Intemperie_50cm_Minima,Temperatura_Suelo_5cm_Media,Temperatura_Suelo_10cm_Media,Temperatura_Inte_5cm,Temperatura_Intemperie_150cm_Minima,Humedad_Suelo,Precipitacion_Pluviometrica,Precipitacion_Cronologica,Precipitacion_Maxima_30minutos,Heliofania_Efectiva,Heliofania_Relativa,Tesion_Vapor_Media,Humedad_Media,Humedad_Media_8_14_20,Rocio_Medio,Duracion_Follaje_Mojado,Velocidad_Viento_200cm_Media,Direccion_Viento_200cm,Velocidad_Viento_1000cm_Media,Direccion_Viento_1000cm,Velocidad_Viento_Maxima,Presion_Media,Radiacion_Global,Horas_Frio,Unidades_Frio
2011-07-21 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2011-07-22 00:00:00.0,10.19612,,,,,,9.85,,,,0.0,,,,,10.14049,81,,7.114236,11.03333,,C ,,C ,12.0,702.0,,,6.639999
2011-07-23 00:00:00.0,11.50972,20.0,5.5,,5.5,,9.966669,,5.9,,0.0,0.0,0.0,,,10.80061,82,79,8.058938,14.53334,0.7361111,C ,0.9201389,C ,13.0,702.0,,1.826,6.640002
2011-07-24 00:00:00.0,12.71806,19.0,5.8,,4.9,,10.62847,,5.5,,0.0,0.0,0.0,,,13.6261,88,85,11.43374,11.13334,2.450704,E ,3.06338,C ,20.0,702.0007,,1.328,0.9129992
2011-07-25 00:00:00.0,17.6875,25.0,14.4,,14.3,,12.79722,,14.1,,25.39999,25.39999,15.6,,,17.45125,88,92,15.20243,8.099997,3.244755,E ,4.055944,C ,35.0,702.0,,0.0,-10.79
2011-07-26 00:00:00.0,12.22708,17.7,8.0,,7.9,,12.30208,,8.0,,0.0,0.0,0.0,,,9.185016,71,71,5.687253,0.0,2.422535,W ,3.028169,C ,16.0,702.0,,0.332,10.458
2011-07-27 00:00:00.0,10.19375,16.8,5.0,,4.4,,11.14583,,4.7,,,0.0,0.0,,,10.40949,81,77,7.503016,9.333332,1.71831,E ,2.147887,C ,18.0,702.0,,7.801996,9.378999
2011-07-28 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2011-07-29 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2011-07-30 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2011-07-31 00:00:00.0,4.736112,11.6,0.5,,0.7,,9.08264,,0.8,,0.0,0.0,0.0,,,6.229071,77,74,0.2464243,23.44998,0.3802817,C ,0.4753521,C ,12.0,702.0007,,17.09801,
2011-08-01 00:00:00.0,4.023611,9.7,-0.1,,-0.2,,8.241723,,0.3,,,0.0,0.0,,,7.024798,84,83,1.904823,9.083331,0.2877698,C ,0.3597122,C ,9.0,702.0,,16.43401,
2011-08-02 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2011-08-03 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2011-08-04 00:00:00.0,7.009789,14.7,0.7,,0.5,,9.022382,,0.6,,0.0,0.0,0.0,,,7.873168,79,74,3.492939,15.20001,1.183099,C ,1.478873,C ,11.0,702.0007,,9.129998,15.02302
2011-08-05 00:00:00.0,12.35209,20.7,7.7,,7.5,,9.817363,,7.7,,0.0,0.0,0.0,,,8.614695,62,57,4.77769,23.88331,1.21831,C ,1.522887,C ,19.0,702.0,,0.0,5.311998
2011-08-06 00:00:00.0,11.99306,21.3,4.7,,3.6,,10.20972,,4.3,,0.0,0.0,0.0,,,9.96297,72,68,6.876898,9.716666,1.152778,C ,1.440972,C ,18.0,702.0,,7.137997,2.323999
2011-08-07 00:00:00.0,13.29305,18.6,9.5,,9.0,,11.02708,,9.4,,0.0,0.0,0.0,,,10.41658,70,70,7.513785,0.8166667,2.9375,E ,3.671875,C ,29.0,702.0,,0.0,2.240999
2011-08-08 00:00:00.0,13.94305,15.9,11.8,,11.7,,11.54305,,11.8,,,0.0,0.0,,,12.57647,79,82,10.31562,0.0,3.090909,E ,3.863636,C ,26.0,702.0,,0.0,0.0
2011-08-09 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2011-08-10 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2011-08-11 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2011-08-13 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2011-08-14 00:00:00.0,10.23055,17.1,4.2,,3.5,,12.33472,,4.5,,0.0,0.0,0.0,,,8.827503,70,71,5.075377,8.183331,2.777778,E ,3.472222,C ,29.0,702.0007,,7.635996,7.967997
2011-08-15 00:00:00.0,12.33264,13.8,10.5,,10.5,,12.29998,,10.4,,,0.0,0.0,,,12.88952,89,91,10.60148,6.149999,2.93662,E ,3.670775,C ,25.0,702.0,,0.0,5.312001
2011-08-16 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2011-08-17 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2011-08-18 00:00:00.0,12.90556,15.6,10.5,,10.6,,12.7868,,10.5,,,0.0,0.0,,,13.07843,90,88,10.93386,2.8,2.791667,E ,3.489583,C ,24.0,702.0007,,0.0,5.976002
2011-08-19 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2011-08-20 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2011-08-21 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2011-08-23 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
2011-08-24 00:00:00.0,12.23472,15.5,10.0,,9.9,,11.22986,,9.9,,0.0,0.0,0.0,,,12.42902,87,85,10.17284,23.78332,2.457747,E ,3.072183,C ,22.0,702.0,,0.0,5.976002
2011-08-25 00:00:00.0,11.31597,17.0,6.3,,5.8,,11.83959,,5.8,,0.0,0.0,0.0,,,10.50508,83,81,7.641082,10.93333,0.9929578,C ,1.241197,C ,19.0,702.0,,1.992,11.62001
2011-08-26 00:00:00.0,8.655555,13.3,3.2,,3.2,,11.12014,,3.4,,0.0,0.0,0.0,,,9.308582,81,78,5.826961,7.083332,3.055944,E ,3.81993,C ,25.0,702.0,,7.137997,15.43801
2011-08-27 00:00:00.0,11.31496,,,,,,,,,,,,,,,,,,,,,  ,,  ,,,,,
