Vcelda1	Icelda1	Vcelda2	Icelda2	Vcelda3	Icelda3	Vcelda4	Icelda4	Vcelda5	Icelda5	Vcelda6	Icelda6	Vcelda7	Icelda7	Vcelda8	Icelda8
0	5.46	0	5.501	0	5.5	0	5.44	0	5.39	0	5.45	0	5.51	0	5.3
2.3	5.43	0.9	5.49	0.6	5.46	0.5	5.44	2.6	5.39	0.7	5.45	0.6	5.48	2.9	5.28
6.8	5.42	2.7	5.49	2.1	5.45	2.9	5.43	7.2	5.38	2	5.44	2.6	5.47	6.5	5.27
11	5.32	7.2	5.49	8.2	5.42	6.6	5.42	11.4	5.3	7.3	5.43	9.6	5.46	8.4	5.26
16.5	4.44	13.8	5.37	15.7	4.89	11.7	5.4	15.6	4.73	15.5	4.86	16	4.67	14	5.18
17.7	3.45	17.4	4.07	18.1	3.15	15.1	5	17.5	3.5	17.1	3.85	17.3	3.66	15.9	4.84
18.3	2.8	18.3	3.13	18.6	2.46	17.3	3.56	18.2	2.72	18.1	2.8	18	2.86	16.7	4.5
18.7	2.31	18.8	2.59	18.9	2.1	18.1	2.68	18.6	2.26	18.6	2.09	18.4	2.35	17.8	3.64
18.9	1.96	19.1	2.05	19.1	1.83	18.6	2.07	18.9	1.9	18.8	1.81	18.6	2.13	18.5	2.94
19.1	1.73	19.3	1.81	19.2	1.63	18.8	1.81	19	1.7	18.9	1.68	18.8	1.79	19.3	1.89
19.2	1.49	19.5	1.51	19.3	1.49	19	1.47	19.2	1.48	19.1	1.46	19	1.47	19.5	1.51
20.1	0	20.4	0	20.2	0	20	0	20.1	0	20	0	19.9	0	20.6	0
