Momento,Eólico,Fotovoltaico,Bioenergías,Hidráulico,% Demanda Abastecida
2022-02-01 00:05:00,2644.78,0.0,139.57,173.67,16.73
2022-02-01 00:10:00,2629.13,0.0,139.58,174.11,16.75
2022-02-01 00:15:00,2653.42,0.0,139.78,173.93,16.95
2022-02-01 00:20:00,2671.34,0.0,139.42,173.91,17.15
2022-02-01 00:25:00,2605.95,0.0,139.06,173.69,16.96
2022-02-01 00:30:00,2575.05,0.0,139.48,173.67,16.84
2022-02-01 00:35:00,2515.27,0.0,138.93,173.71,16.54
2022-02-01 00:40:00,2459.9,0.0,139.24,173.45,16.37
2022-02-01 00:45:00,2412.79,0.0,139.42,173.84,16.2
2022-02-01 00:50:00,2402.39,0.0,139.42,174.2,16.14
2022-02-01 00:55:00,2372.49,0.0,139.49,173.64,16.03
2022-02-01 01:00:00,2327.2,0.0,139.87,173.66,15.81
2022-02-01 01:05:00,2319.9,0.0,139.75,180.9,15.87
2022-02-01 01:10:00,2291.75,0.0,139.48,180.32,15.87
2022-02-01 01:15:00,2294.56,0.0,139.33,180.88,15.92
2022-02-01 01:20:00,2300.35,0.0,138.6,180.92,15.95
2022-02-01 01:25:00,2275.79,0.0,138.98,181.09,15.9
2022-02-01 01:30:00,2310.81,0.0,138.98,180.53,16.24
2022-02-01 01:35:00,2398.38,0.0,138.86,179.96,16.75
2022-02-01 01:40:00,2466.21,0.0,139.37,180.13,17.25
2022-02-01 01:45:00,2515.1,0.0,139.67,179.4,17.66
2022-02-01 01:50:00,2540.74,0.0,139.48,179.66,17.91
2022-02-01 01:55:00,2553.22,0.0,139.04,179.54,18.12
2022-02-01 02:00:00,2583.91,0.0,139.7,179.85,18.3
2022-02-01 02:05:00,2597.48,0.0,139.72,181.11,18.42
2022-02-01 02:10:00,2564.83,0.0,140.45,181.41,18.27
2022-02-01 02:15:00,2556.06,0.0,140.75,180.82,18.3
2022-02-01 02:20:00,2550.96,0.0,141.28,180.79,18.35
2022-02-01 02:25:00,2549.25,0.0,140.49,180.03,18.39
2022-02-01 02:30:00,2536.76,0.0,140.81,180.21,18.38
2022-02-01 02:35:00,2540.54,0.0,141.25,180.29,18.51
2022-02-01 02:40:00,2530.51,0.0,141.48,180.17,18.56
2022-02-01 02:45:00,2536.29,0.0,141.37,180.03,18.69
2022-02-01 02:50:00,2538.24,0.0,141.72,180.64,18.55
2022-02-01 02:55:00,2542.65,0.0,141.5,180.19,18.62
2022-02-01 03:00:00,2538.88,0.0,141.57,179.84,18.68
2022-02-01 03:05:00,2548.3,0.0,141.31,180.44,18.72
2022-02-01 03:10:00,2572.14,0.0,141.66,180.03,18.95
2022-02-01 03:15:00,2565.2,0.0,141.48,180.12,18.94
2022-02-01 03:20:00,2558.95,0.0,141.87,179.52,18.89
2022-02-01 03:25:00,2553.41,0.0,141.51,180.07,18.99
2022-02-01 03:30:00,2543.46,0.0,140.73,179.75,18.88
